"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "Markdown", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\laragon\www\icei\resources\js\app.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\laragon\www\icei\resources\js\bootstrap.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 18, 8, 29
"c:\laragon\www\icei\resources\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\laragon\www\icei\resources\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\laragon\www\icei\resources\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\laragon\www\icei\resources\lang\en\validation.php", "PHP", 0, 114, 0, 0, 0, 0, 0, 0, 30, 9, 153
"c:\laragon\www\icei\resources\lang\es.json", "JSON", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"c:\laragon\www\icei\resources\lang\es\auth.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\laragon\www\icei\resources\lang\es\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\laragon\www\icei\resources\lang\es\passwords.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 10, 4, 23
"c:\laragon\www\icei\resources\lang\es\validation.php", "PHP", 0, 113, 0, 0, 0, 0, 0, 0, 30, 9, 152
"c:\laragon\www\icei\resources\lang\vendor\adminlte\ar\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\laragon\www\icei\resources\lang\vendor\adminlte\ca\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\laragon\www\icei\resources\lang\vendor\adminlte\de\adminlte.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\laragon\www\icei\resources\lang\vendor\adminlte\de\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\en\adminlte.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\laragon\www\icei\resources\lang\vendor\adminlte\en\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\es\adminlte.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\laragon\www\icei\resources\lang\vendor\adminlte\es\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\fa\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\fr\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\hr\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\hu\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\laragon\www\icei\resources\lang\vendor\adminlte\id\adminlte.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\laragon\www\icei\resources\lang\vendor\adminlte\id\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\it\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\ja\adminlte.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\laragon\www\icei\resources\lang\vendor\adminlte\ja\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
